timestamp,label,accelX,accelY,accelZ,gyroX,gyroY
241993.0,FWD,-8.5736,5.0015,12.5432,-0.022989,-0.33584
242003.0,FWD,-7.944,1.1995,12.6965,-0.021318,-0.516057
242013.0,FWD,-7.8003,4.6112,14.8201,-0.023819,-0.672488
242023.0,FWD,-7.1658,0.9457,12.287,-0.019531,-0.781325
242033.0,FWD,-7.2329,0.4022,7.2449,-0.017805,-0.828745
242043.0,FWD,-5.1978,2.6695,9.007,-0.01488,-0.803049
242053.0,FWD,-2.9999,2.7318,8.3534,-0.010354,-0.733997
242063.0,FWD,-4.9608,2.7222,6.0621,-0.008972,-0.66442
242073.0,FWD,-5.8945,1.0487,10.5656,-0.009039,-0.617338
242083.0,FWD,-4.5298,3.4477,11.7747,-0.008772,-0.584468
242093.0,FWD,-5.1404,3.5985,8.4851,-0.014475,-0.526038
242103.0,FWD,-4.4317,-1.3048,11.6191,-0.015093,-0.434421
242113.0,FWD,-3.0119,2.2577,12.8784,-0.019158,-0.313484
242123.0,FWD,-5.0278,4.9201,9.8593,-0.023476,-0.186411
242134.0,FWD,-3.2346,1.6281,8.9735,-0.017871,-0.076812
242143.0,FWD,-3.1963,2.4086,9.8641,-0.018982,0.010335
242153.0,FWD,-3.5793,4.1946,15.5527,-0.018113,0.081277
242163.0,FWD,-4.9775,2.6121,14.631,-0.010436,0.129292
242173.0,FWD,-5.5474,1.2522,19.0507,-0.001896,0.172073
242183.0,FWD,-6.1986,2.4804,15.5025,0.001525,0.210029
242193.0,FWD,-3.9025,2.1596,15.5288,-0.000162,0.242365
242203.0,FWD,-3.7852,2.727,17.7075,-0.001831,0.259387
242213.0,FWD,-0.6273,3.4524,14.4849,-0.001993,0.259203
242223.0,FWD,-1.3024,1.1732,15.67,-0.005374,0.245465
242233.0,FWD,-2.2649,-1.9249,15.1984,-0.008719,0.214224
242243.0,FWD,-2.5642,-0.656,13.2687,-0.009955,0.1604
242253.0,FWD,-3.213,1.312,12.9933,-0.011211,0.091547
